ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠶᠡᠬᠡ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠤᠳᠠᠭ᠎ᠠ ᠪᠣᠯᠭᠠᠨ ᠪᠦᠷ ᠠᠭᠤᠷᠲᠠᠢ ᠪᠠᠷ ᠬᠡᠨ ᠡᠭᠦᠳᠦᠨ ᠪᠦᠲᠦᠭᠡᠭᠰᠡᠨ ᠠᠮᠠᠷᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠵᠢᠶ᠎ᠡ ᠲᠣᠬᠢᠷᠠᠭᠤᠯᠤᠯᠲᠠ ᠬᠢᠵᠦ ᠠᠮᠠᠷᠠᠬᠤ ᠶ᠋ᠢ ᠨᠢ ᠭᠠᠷᠭᠠᠪᠠᠯ ᠣᠯᠠᠨ ᠢ᠋ᠶ᠋ᠠᠷ ᠢ᠋ᠶ᠋ᠠᠨ ᠪᠦᠷ ᠲᠣᠩ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠡᠳᠦᠷ ᠪᠦᠷᠢ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠯᠡᠵᠦ ᠭᠠᠷᠬᠤ ᠦᠭᠡᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠠ᠋ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷᠠᠨ ᠳ᠋ᠤ᠌ ᠪᠠᠨ ᠰᠢᠲᠠᠵᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠨ ᠮᠢᠨᠦ ᠳᠣᠲᠣᠭᠠᠳᠤ ᠰᠡᠳᠬᠢᠯ ᠦ᠋ᠨ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ ᠣᠢᠯᠠᠭᠠᠬᠤ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠩᠬ᠎ᠠ ᠤᠳᠠᠭ᠎ᠠ ᠡᠢᠮᠦ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠲᠡᠢ ᠪᠠᠢᠳᠠᠯ ᠨᠢ ᠪᠦᠷ ᠠᠮᠠᠷᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠦᠨᠡᠬᠡᠷ ᠠᠭᠤᠷᠯᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠣᠯᠪᠠᠰᠤᠨ ᠪᠤᠰᠤ ᠢᠯᠡᠷᠡᠯ ᠨᠢ ᠬᠥᠮᠦᠰ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ ᠬᠦᠷᠭᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠪᠤ ᠡᠵᠢ ᠲᠡᠢ ᠪᠡᠨ ᠬᠠᠮᠲᠤ ᠪᠠᠢᠬᠤ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠨ ᠳᠠᠷᠤᠵᠤ ᠳᠡᠢᠯᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠵᠦᠢ ᠶᠣᠰᠣᠨ ᠤ᠋ ᠴᠢᠷᠮᠠᠢᠯᠲᠠ ᠪᠠᠷ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢᠯᠡᠷᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩᠨᠡᠨ ᠤᠷᠮ᠎ᠠ ᠬᠤᠭᠤᠷᠠᠵᠤ ᠵᠣᠷᠢᠭ ᠠᠯᠳᠠᠷᠠᠬᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠦᠴᠦᠷᠬᠡᠭ ᠢ᠋ ᠬᠦᠯᠢᠶᠡᠵᠦ ᠠᠪᠤᠭᠰᠠᠨ ᠬᠥᠮᠦᠨ ᠪᠦᠬᠦᠨ ᠤᠨ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠣᠳᠣ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠤᠢᠳᠬᠠᠷ ᠲᠠᠢ ᠢᠨᠲ᠋ᠧᠷ ᠰᠦᠯᠵᠢᠶ᠎ᠡ ᠨᠢ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠵᠢᠭᠠᠬᠠᠨ ᠴᠤ᠌ ᠬᠠᠪᠰᠤᠷᠴᠤ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠡᠴᠡ ᠭᠠᠷᠭᠠᠵᠤ ᠦᠭᠭᠦᠭᠰᠡᠨ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠨᠡᠨᠳᠡᠭᠡᠨ ᠪᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠦᠬᠦ ᠤᠯᠤᠰ ᠤ᠋ᠨ ᠬᠡᠪᠴᠢᠶᠡᠨ ᠳ᠋ᠦ᠍ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠬᠡᠲᠦᠷᠬᠡᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠷ ᠳᠦᠭᠦᠷᠡᠩ ᠨᠢᠭᠡ ᠥᠷᠯᠥᠭᠡ ᠪᠠᠰᠠ ᠨᠢᠭᠡ ᠤᠳᠠᠭ᠎ᠠ ᠳᠡᠯᠭᠡᠴᠡ ᠰᠣᠯᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠵᠣᠬᠢᠶᠠᠯ ᠢ᠋ ᠡᠷᠭᠢᠴᠡᠭᠦᠯᠬᠦ ᠳ᠋ᠦ᠍ ᠥᠪᠡᠷ ᠢ᠋ ᠪᠡᠨ ᠲᠡᠢᠮᠦ ᠡᠵᠡᠮᠳᠡᠵᠦ ᠳᠡᠢᠯᠬᠦ ᠦᠭᠡᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠮᠡᠲᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠠᠮᠢᠳᠤᠷᠠᠬᠤ ᠵᠦᠢ ᠶ᠋ᠢᠨ ᠬᠤᠭᠤᠴᠠᠭ᠎ᠠ ᠡᠬᠢᠯᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠮᠡᠭᠲᠡᠢ ᠬᠥᠮᠦᠨ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠬᠣᠭᠣᠯᠠᠢ ᠶ᠋ᠢ ᠪᠡᠨ ᠮᠡᠳᠡᠬᠦ ᠪᠠᠢᠳᠠᠯ ᠳ᠋ᠤ᠌ ᠴᠤ᠌ ᠬᠢᠯᠢᠩᠨᠡᠨ ᠠᠭᠤᠷᠯᠠᠵᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠬᠢᠯᠢᠩ ᠨᠢ ᠳᠡᠯᠭᠡᠴᠡ ᠠᠯᠤᠰᠯᠠᠨ ᠮᠡᠳᠡᠷᠡᠭᠳᠡᠵᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩᠨᠡᠬᠦ ᠪᠠᠢᠷᠢ ᠰᠠᠭᠤᠷᠢ ᠳᠠᠬᠢᠨ ᠡᠵᠡᠯᠡᠭᠳᠡᠭᠰᠡᠨ ᠢ᠋ ᠤᠬᠠᠮᠰᠠᠷᠯᠠᠬᠤ ᠪᠣᠯᠤᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠠᠷᠠᠮᠰᠠᠨ ᠢ᠋ᠶ᠋ᠠᠷ ᠪᠠᠷᠠᠬᠤ ᠦᠭᠡᠢ ᠪᠠᠰᠠ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠷᠯᠥᠭᠡ ᠪᠣᠰᠴᠤ ᠪᠡᠶ᠎ᠡ ᠶ᠋ᠢᠨ ᠬᠦᠨᠳᠦ ᠪᠡᠨ ᠠᠪᠴᠤ ᠪᠠᠷᠠᠭᠠᠳ ᠳᠣᠯᠣᠭᠠᠨ ᠵᠢᠩ ᠮᠠᠷᠢᠶᠠᠯᠠᠭᠰᠠᠨ ᠢ᠋ ᠣᠯᠵᠤ ᠮᠡᠳᠡᠵᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩᠨᠡᠭᠰᠡᠨ ᠨᠢᠭᠡ ᠡᠳᠦᠷ ᠥᠷᠯᠥᠭᠡ ᠶ᠋ᠢᠨ ᠬᠣᠭᠣᠯᠠ ᠣᠯᠵᠤ ᠢᠳᠡᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠴᠢᠮᠡᠭᠡ ᠶ᠋ᠢ ᠦᠵᠡᠭᠡᠳ ᠨᠢᠭᠡᠨᠲᠡ ᠡᠬᠢᠯᠡᠨ ᠠᠭᠤᠷ ᠬᠦᠷᠴᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠴᠢ ᠪᠦᠬᠦ ᠤᠯᠤᠰ ᠢ᠋ᠶ᠋ᠠᠷ ᠢ᠋ᠶ᠋ᠠᠨ ᠪᠠᠶᠠᠷᠯᠠᠬᠤ ᠶᠣᠰᠣᠲᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠮᠠᠷᠠᠯᠲᠠ ᠲᠠᠯᠪᠢᠮᠠᠭᠴᠠ ᠠᠵᠢᠯᠴᠢᠳ ᠤ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠨᠠᠮᠳᠠᠪᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠵᠢᠯᠴᠢᠨ ᠤ᠋ ᠬᠢᠯᠢᠩ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠣᠶᠠᠷ ᠡᠳᠦᠷ ᠶᠡᠷᠦ ᠨᠢ ᠳᠠᠷᠤᠭᠳᠠᠭ᠎ᠠ ᠦᠭᠡᠢ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠣᠷᠭᠢᠯᠵᠤ ᠪᠠᠢᠬᠤ ᠰᠢᠭ᠋ ᠰᠠᠨᠠᠭᠳᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠣᠶᠠᠷ ᠡᠳᠦᠷ ᠦ᠋ᠨ ᠪᠠᠢᠳᠠᠯ ᠲᠣᠩ ᠮᠠᠭᠤ ᠂ ᠪᠦᠬᠦ ᠬᠥᠮᠦᠨ ᠳ᠋ᠦ᠍ ᠪᠦᠷ ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠮᠥᠷᠲᠡᠭᠡᠨ ᠠᠭᠤᠷᠯᠠᠳᠠᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠦᠶ᠎ᠡ ᠳ᠋ᠦ᠍ ᠦᠭᠡ ᠬᠡᠯᠡ ᠪᠡᠷ ᠮᠢᠨᠦ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ ᠢᠯᠡᠳᠬᠡᠬᠦ ᠶ᠋ᠢᠨ ᠠᠷᠭ᠎ᠠ ᠦᠭᠡᠢ ᠂ ᠠᠮᠢ ᠨᠠᠰᠤ ᠪᠦᠬᠦᠨ ᠴᠥᠮ ᠰᠠᠢᠨ ᠢ᠋ᠶ᠋ᠠᠷ ᠬᠠᠨᠳᠤᠭᠳᠠᠬᠤ ᠶ᠋ᠢ ᠬᠦᠰᠡᠳᠡᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠡᠢᠮᠦ ᠨᠡᠢᠭᠡᠮ ᠢ᠋ ᠡᠰᠡᠷᠭᠦᠴᠡᠬᠦ ᠬᠥᠮᠦᠨ ᠣᠷᠣᠰᠢᠵᠤ ᠪᠠᠢᠬᠤ ᠶ᠋ᠢ ᠣᠢᠯᠭᠠᠬᠤ ᠦᠭᠡᠢ ᠪᠠᠢᠭ᠎ᠠ ᠳ᠋ᠤ᠌ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠰᠤᠷᠭᠠᠭᠤᠯᠢ ᠳ᠋ᠤ᠌ ᠪᠠᠢᠬᠤ ᠦᠶ᠎ᠡ ᠶ᠋ᠢᠨ ᠦᠨᠡᠨ ᠪᠣᠳᠠᠲᠤ ᠥᠩᠭᠡᠷᠡᠯᠲᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠭᠦᠨ ᠦ᠌ ᠵᠥᠷᠢᠭᠦᠳ ᠵᠠᠩ ᠨᠢ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩᠨᠡᠭᠰᠡᠨ ᠬᠠᠷᠠᠴᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠪᠠᠰᠠ ᠲᠡᠭᠦᠨ ᠢ᠋ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠪᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠭᠦᠨ ᠳ᠋ᠦ᠍ ᠢᠯᠭᠠᠭ᠎ᠠ ᠲᠠᠢ ᠬᠠᠨᠳᠤᠵᠤ ᠪᠠᠢᠬᠤ ᠪᠠᠨ ᠦᠵᠡᠭᠡᠳ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠡᠨᠡ ᠬᠦ᠌ ᠬᠢᠵᠢᠭ ᠦ᠋ᠨ ᠪᠠᠢᠳᠠᠯ ᠶᠡᠬᠡ ᠪᠡᠷ ᠬᠠᠷᠢᠶᠠᠭᠰᠠᠨ ᠠ᠋ᠴᠠ ᠪᠣᠯᠵᠤ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠬᠦᠷᠴᠦ ᠮᠡᠳᠡᠨ᠎ᠡ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠣᠨᠢᠨ ᠮᠡᠳᠡᠭᠡ ᠶ᠋ᠢ ᠦᠵᠡᠵᠦ ᠪᠠᠷᠠᠬᠤ ᠦᠶ᠎ᠡ ᠳ᠋ᠦ᠍ ᠨᠢᠭᠡ ᠵᠦᠢᠯ ᠦ᠋ᠨ ᠬᠦᠴᠦᠨ ᠦᠭᠡᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠲᠥᠷᠥᠭᠳᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠ ᠂ ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠤ ᠠᠯᠠᠯ᠎ᠠ ᠂ ᠪᠢ ᠶᠠᠭᠠᠬᠢᠪᠠᠯ ᠰᠠᠶᠢ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠢ᠋ᠶ᠋ᠠᠨ ᠳᠠᠷᠤᠵᠤ ᠳᠡᠢᠯᠬᠦ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠵᠡᠵᠦ ᠪᠠᠷᠠᠭᠠᠳ ᠦᠨᠡᠬᠡᠷ ᠠᠭᠤᠷ ᠬᠦᠷᠴᠦ ᠲᠡᠭᠦᠨ ᠢ᠋ ᠨᠢᠭᠡ ᠰᠠᠢᠨ ᠵᠣᠳᠣᠶ᠎ᠠ ᠭᠡᠵᠦ ᠪᠣᠳᠣᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠦᠨᠡᠨ ᠲᠣᠩ ᠠᠮᠠᠷᠬᠠᠨ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠵᠢᠭᠠᠬᠠᠨ ᠤᠴᠢᠷ ᠪᠦᠷ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠤᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠩᠬᠦᠷᠡᠢ ᠠᠮᠢᠲᠠᠨ ᠦᠭᠡᠢ ᠨᠢ ᠦᠵᠡᠭᠡᠳ ᠪᠦᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠴᠢᠨᠠᠷ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠤᠳᠠᠭ᠎ᠠ ᠪᠦᠷᠢ ᠸᠧᠢ ᠪᠦᠸᠧ ᠨᠡᠭᠡᠭᠡᠵᠦ ᠡᠳᠡᠭᠡᠷ ᠰᠣᠨᠢᠨ ᠮᠡᠳᠡᠭᠡ ᠶ᠋ᠢ ᠦᠵᠡᠭᠡᠳ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠨᠣᠬᠠᠢ ᠶ᠋ᠢ ᠵᠠᠨᠤᠯᠠᠭᠳᠠᠭᠰᠠᠨ ᠬᠥᠮᠦᠨ ᠬᠡᠵᠢᠶ᠎ᠡ ᠰᠢᠢᠳᠬᠡᠯ ᠣᠯᠬᠤ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠦᠷᠦᠭᠡᠳ ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠪᠠᠨ ᠬᠠᠶᠠᠬᠤ ᠭᠡᠵᠦ ᠰᠠᠨᠠᠭᠠᠳ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠢ᠋ᠶ᠋ᠠᠨ ᠳᠠᠷᠤᠵᠤ ᠳᠡᠢᠯᠬᠦ ᠦᠭᠡᠢ ᠪᠣᠯᠵᠠᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠪᠠᠨ ᠬᠠᠶᠠᠨ ᠮᠢᠨᠦ ᠰᠡᠳᠬᠢᠯ ᠳᠠᠬᠢ ᠠᠭᠤᠷ ᠳᠠᠬᠢᠨ ᠬᠦᠷᠴᠦ ᠢᠷᠡᠪᠡ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠦᠬᠦᠢᠯᠡ ᠵᠦᠴᠦᠭᠡ ᠶ᠋ᠢᠨ ᠶᠠᠪᠤᠴᠠ ᠨᠢ ᠯᠢ ᠡᠷᠡᠭᠲᠡᠢ ᠲᠡᠢ ᠠᠭᠤᠯᠵᠠᠬᠤ ᠬᠡᠰᠡᠭ ᠨᠢ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠳ᠋ᠦ᠍ ᠲᠡᠭᠦᠨ ᠦ᠌ ᠤᠨᠲᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠶ᠋ᠢ ᠦᠵᠡᠭᠡᠳ ᠪᠢ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠶ᠋ᠢ ᠣᠯᠵᠤ ᠮᠡᠳᠡᠵᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠬᠤᠪᠢ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠨᠣᠮᠧᠷ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠸᠠᠺᠼᠢᠨ ᠲᠠᠷᠢᠭᠤᠯᠬᠤ ᠪᠠᠷ ᠢᠳᠭᠠᠭᠰᠠᠨ ᠳ᠋ᠤ᠌ ᠪᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠯᠡᠬᠦ ᠶ᠋ᠢᠨ ᠠᠷᠭ᠎ᠠ ᠦᠭᠡᠢ ᠬᠢᠯᠢᠩ ᠭᠡᠰᠡᠨ ᠤᠳᠬ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠢᠮᠦᠷᠬᠡᠦ ᠦᠢᠯᠡ ᠠᠵᠢᠯᠯᠠᠭ᠎ᠠ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠪᠠᠭ᠎ᠠ ᠠᠮᠢᠲᠠᠨ ᠢ᠋ ᠲᠠᠮᠤᠯᠠᠬᠤ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩ ᠦ᠋ᠨ ᠬᠦᠷᠬᠢᠷᠡᠬᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠵᠥᠪᠬᠡᠨ ᠦᠰᠦᠭ ᠪᠢᠴᠢᠭ ᠦᠵᠡᠬᠦ ᠨᠢ ᠬᠥᠮᠦᠰ ᠦ᠋ᠨ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ ᠬᠦᠷᠭᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠤᠰ ᠭᠡᠷᠡᠯ ᠵᠢᠷᠤᠭ ᠮᠢᠨᠦ ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠶ᠋ᠢ ᠲᠡᠮᠳᠡᠭᠯᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠳᠡᠯᠭᠡᠴᠡ ᠠᠯᠤᠰᠯᠠᠨ ᠪᠢ ᠪᠦᠷ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠡᠳᠡᠭᠡᠷ ᠮᠠᠭᠤ ᠡᠷ᠎ᠡ ᠶ᠋ᠢ ᠣᠯᠵᠤ ᠦᠵᠡᠭᠡᠳ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠥᠮᠦᠨ ᠢ᠋ ᠳᠠᠩᠴᠤ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠴᠢᠬᠠᠯ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠭᠦᠨ ᠦ᠌ ᠬᠢᠳᠡᠯ ᠨᠢ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠠᠭᠤᠷ ᠢ᠋ ᠬᠦᠷᠭᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠤᠳᠠᠭᠠᠨ ᠤ᠋ ᠵᠦᠴᠦᠭᠡ ᠶ᠋ᠢᠨ ᠦᠢᠯᠡ ᠶᠠᠪᠤᠳᠠᠯ ᠨᠢ ᠦᠵᠡᠬᠦ ᠳᠣᠳᠣᠮ ᠠᠭᠤᠷᠯᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠰᠦᠭ ᠪᠢᠴᠢᠭ ᠦᠵᠡᠬᠦ ᠳ᠋ᠦ᠍ ᠨᠢᠭᠡᠨᠲᠡ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠤ ᠠᠯᠠᠯ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠤᠳᠠᠭ᠎ᠠ ᠪᠣᠯᠭᠠᠨ ᠡᠢᠮᠦ ᠰᠣᠨᠢᠨ ᠮᠡᠳᠡᠭᠡ ᠶ᠋ᠢ ᠦᠵᠡᠪᠡᠯ ᠪᠦᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠨᠥᠳᠥᠷ ᠳᠡᠩᠳᠡᠭᠦᠦ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠣᠳᠣ ᠪᠣᠯᠲᠠᠯ᠎ᠠ ᠪᠠᠰᠠ ᠯᠠ ᠨᠠᠮᠵᠢᠬᠤ ᠠᠷᠭ᠎ᠠ ᠦᠭᠡᠢ 
